Question,Total_S1,Verbs_S1,Total_S2,Verbs_S2,Total_S3,Verbs_S3
1,91657,19629,76602,16397,66376,13792
11,13940,2432,11944,1973,10677,1694
12,38699,8248,38018,7586,30721,6031
38,56568,10734,47871,9398,37873,7544
39,45411,8057,22525,3981,17326,3213
40,35045,6284,28810,6004,21314,4436
41,19710,3076,22816,3786,16237,2628
42,27628,5063,0,0,0,0
43,22467,3716,0,0,0,0
44,7,0,0,0,0,0
52,0,0,54241,9989,41324,7559
53,0,0,21966,3585,18367,3085
54,0,0,27892,5148,22996,3996
55,0,0,14873,1910,9734,1146
