S3,S1,S2
NYU239C,NYU195,NYU262B
NYU243C,NYU260,NYU247B
NYU253C,NYU021,NYU060B
NYU269C,NYU204,NYU130B
NYU270C,NYU045,NYU090B
NYU275C,STLM032,STLM072B
NYU279C,NYU173,NYU194B
NYU280C,STLM097,STLM161B
NYU281C,NYU152,NYU073B
NYU282C,NYU286,NYU189B
NYU285C,NYU294,NYU248B
NYU293C,NYU139,NYU209B
NYU294C,NYU290,NYU166B
NYU297C,NYU290,NYU166B
NYU297C,STLC015,STLM159B
NYU302C,NYU274,NYU207B
NYU310C,NYU314,NYU280B
NYU312C,NYU313,NYU237B
NYU314C,NYU161,NYU094B
NYU315C,NYU293,NYU241B
NYU319C,NYU141,NYU154B
NYU323C,NYU149,NYU002B
NYU328C,NYU211,NYU124B
NYU329C,NYU162,NYU111B
NYU330C,NYU010,NYU244B
NYU334C,NYU086,NYU152B
NYU335C,NYU308,NYU204B
STAN002C,STAN103,STAN080B
STAN003C,STAN029,STAN043B
STAN004C,STAN022,STAN034B
STAN005C,STAN013,STAN027B
STAN006C,STAN149,STAN063B
STAN007C,STAN140,STAN039B
STAN009C,STAN040,STAN078B
STAN011C,STAN021,STAN069B
STAN013C,STAN012,STAN032B
STAN014C,STAN112,STAN073B
STAN015C,STAN016,STAN029B
STAN016C,STAN026,STAN062B
STAN017C,STAN090,STAN068B
STAN018C,STAN115,STAN075B
STAN019C,STAN092,STAN026B
STAN020C,STAN105,STAN067B
STAN021C,STAN027,STAN046B
STAN022C,STAN095,STAN056B
STAN023C,STAN049,STAN041B
STAN024C,STAN025,STAN049B
STAN025C,STAN030,STAN065B
STAN026C,STAN036,STAN044B
STAN028C,STAN151,STAN061B
STAN030C,STAN094,STAN025B
STLM001C,STLM211,STLM053B
STLM002C,STLC086,STLC012B
STLM003C,STLC022,STLC020B
STLM004C,STLC073,STLC016B
STLM006C,STLC063,STLC024B
STLM007C,STLM043,STLM090B
STLM008C,STLM096,STLM032B
STLM009C,STLM041,STLM107B
STLM012C,STLM170,STLM008B
STLM013C,STLM153,STLM046B
STLM014C,STLM138,STLM029B
STLM015C,STLC013,STLM016B
STLM016C,STLM046,STLM030B
STLM017C,STLM122,STLM041B
STLM018C,STLM044,STLM127B
STLM019C,STLM027,STLM063B
STLM020C,STLM062,STLM049B
STLM021C,STLM080,STLM156B
STLM023C,STLM127,STLM035B
STLM024C,STLM164,STLM074B
STLM025C,STLM208,STLM023B
STLM026C,STLM017,STLM170B
STLM029C,STLM185,STLM147B
STLM031C,STLC007,STLM007B
STLM032C,STLM003,STLM118B
STLM033C,STLM147,STLM078B
STLM034C,STLM119,STLM166B
STLM035C,STLM117,STLM039B
STLM036C,STLM171,STLM047B
STLM037C,STLM106,STLM042B
STLM038C,STLM007,STLM037B
STLM040C,STLM154,STLM088B
STLM042C,STLM011,STLM151B
STLM043C,STLC024,STLC026B
STLM044C,STLM125,STLM057B
STLM046C,STLM051,STLM173B
STLM047C,STLM014,STLM028B
STLM048C,STLM045,STLM051B
STLM049C,STLC033,STLC031B
STLM051C,STLM218,STLM103B
STLM052C,STLM067,STLM027B
STLM053C,STLM082,STLM121B
STLM054C,STLM139,STLM179B
STLM055C,STLM145,STLM176B
STLM056C,STLM015,STLM123B
STLM057C,STLM031,STLM146B
STLM058C,STLM182,STLM142B
STLM059C,STLM034,STLM180B
STLM060C,STLM010,STLM150B
STLM061C,STLM081,STLM129B
STLM062C,STLM160,STLM067B
STLM063C,STLM166,STLM139B
STLM065C,STLC082,STLC037B
STLM066C,STLM181,STLM061B
STLM067C,STLM150,STLM104B
STLM068C,STLM172,STLM084B
STLM070C,STLM118,STLM149B
STLM072C,STLM158,STLM085B
STLM073C,STLM039,STLM021B
STLM074C,STLM076,STLM071B
STLM075C,STLM070,STLM064B
STLM076C,STLM192,STLM167B
STLM077C,STLM156,STLM004B
STLM078C,STLM183,STLM144B
STLM081C,STLM146,STLM117B
STLM082C,STLM020,STLM160B
STLM083C,STLM144,STLM055B
STLM084C,STLC010,STLM134B
STLM085C,STLM100,STLM102B
STLM086C,STLM198,STLM095B
STLM087C,STLM131,STLM190B
STLM088C,STLC060,STLC027B
STLM090C,STLM168,STLM165B
STLM093C,STLM025,STLM128B
STLM096C,STLM064,STLM025B
STLM099C,STLM042,STLM075B
STLM101C,STLM029,STLM133B
STLM102C,STLM110,STLM099B
STLM103C,STLM095,STLM087B
STLM104C,STLM114,STLM060B
STLM105C,STLM060,STLM184B
STLM106C,STLM219,STLM197B
STLM107C,STLM209,STLM188B
STLM108C,STLM207,STLM186B
STLM109C,STLM135,STLM177B
STLM110C,STLM008,STLM182B
STLM113C,STLM005,STLM171B
STLM114C,NYU312,NYU169B
STLM116C,STLM094,STLM158B
STLM118C,STLM072,STLM131B
STLM119C,STLM091,STLM162B
STLM121C,STLM213,STLM089B
STLM125C,STLM084,STLM038B
STLM126C,STLM134,STLM175B
STLM127C,STLM159,STLM200B
UCSC001C,UCSC046,UCSC020B
UCSC016C,UCSC042,UCSC011B
UCSC019C,UCSC008,UCSC004B
UCSC020C,UCSC050,UCSC028B
UCSC023C,UCSC016,UCSC009B
UCSC026C,UCSC001,UCSC012B
UCSC030C,UCSC068,UCSC022B
UCSC031C,UCSC072,UCSC010B
UCSC032C,UCSC062,UCSC007B
UCSC033C,UCSC007,UCSC038B
UCSC034C,UCSC041,UCSC018B
UCSC037C,UCSC073,UCSC021B
UCSC038C,UCSC044,UCSC017B
UCSC043C,UCSC051,UCSC048B
UCSC044C,UCSC047,UCSC041B
YALE002C,YALE057,YALE097B
YALE005C,YALE052,YALE067B
YALE009C,YALE065,YALE004B
YALE011C,YALE049,YALE075B
YALE013C,YALE078,YALE073B
YALE017C,YALE005,YALE001B
YALE022C,YALE020,YALE011B
YALE023C,YALE073,YALE008B
YALE026C,YALE074,YALE058B
YALE027C,YALE008,YALE089B
YALE031C,YALE054,YALE095B
YALE032C,YALE007,YALE133B
YALE035C,YALE063,YALE145B
YALE036C,YALE016,YALE051B
YALE041C,YALE003,YALE069B
YALE055C,YALE030,YALE149B
YALE063C,YALE014,YALE148B
YALE067C,YALE062,YALE074B
YALE070C,YALE075,YALE017B
